number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
137,0.0008630165830254555,2025-07-17 17:10:52.171091,2025-07-17 17:11:57.188320,0 days 00:01:05.017229,min,16,0.00854597805727122,6,6,gaussian,COMPLETE
138,0.0004139907832723111,2025-07-17 17:11:57.189214,2025-07-17 17:13:10.014324,0 days 00:01:12.825110,min,16,0.006484041692524822,7,15,gaussian,COMPLETE
139,0.0521370992064476,2025-07-17 17:13:10.015221,2025-07-17 17:14:21.338824,0 days 00:01:11.323603,min,16,0.005211245843288152,7,15,sigmoid,COMPLETE
140,0.05921804532408714,2025-07-17 17:14:21.339726,2025-07-17 17:14:41.344552,0 days 00:00:20.004826,min,128,0.006198679226158426,7,17,gaussian,COMPLETE
141,0.00040843835449777544,2025-07-17 17:14:41.345035,2025-07-17 17:15:52.511254,0 days 00:01:11.166219,min,16,0.006930427254314472,7,13,gaussian,COMPLETE
142,0.014698022976517677,2025-07-17 17:15:52.512099,2025-07-17 17:17:06.428722,0 days 00:01:13.916623,min,16,0.0069260281041462505,7,16,gaussian,COMPLETE
143,0.0003589874831959605,2025-07-17 17:17:06.429583,2025-07-17 17:18:16.382788,0 days 00:01:09.953205,min,16,0.008060342283472218,7,9,gaussian,COMPLETE
144,0.0004653257492464036,2025-07-17 17:18:16.383666,2025-07-17 17:19:26.452251,0 days 00:01:10.068585,min,16,0.007793032859541379,7,9,gaussian,COMPLETE
145,0.0009431266225874424,2025-07-17 17:19:26.453122,2025-07-17 17:20:36.484383,0 days 00:01:10.031261,min,16,0.008487357217144404,7,9,gaussian,COMPLETE
146,0.03222227096557617,2025-07-17 17:20:36.485237,2025-07-17 17:21:45.654576,0 days 00:01:09.169339,min,16,0.009962767084866285,7,8,gaussian,COMPLETE
147,0.006110009271651506,2025-07-17 17:21:45.655462,2025-07-17 17:22:58.674307,0 days 00:01:13.018845,min,16,0.006386063491273343,7,15,gaussian,COMPLETE
148,0.001967018935829401,2025-07-17 17:22:58.675404,2025-07-17 17:24:09.869440,0 days 00:01:11.194036,min,16,0.0077509326245172455,7,10,gaussian,COMPLETE
149,0.3852819502353668,2025-07-17 17:24:09.870283,2025-07-17 17:25:22.021054,0 days 00:01:12.150771,min,16,0.005780275293822204,7,14,gaussian,COMPLETE
150,0.000700173492077738,2025-07-17 17:25:22.021939,2025-07-17 17:26:43.441133,0 days 00:01:21.419194,min,16,0.004693227406415841,7,25,gaussian,COMPLETE
151,0.0002652087132446468,2025-07-17 17:26:43.441971,2025-07-17 17:27:53.482066,0 days 00:01:10.040095,min,16,0.003990781045346735,7,12,gaussian,COMPLETE
152,0.1622108370065689,2025-07-17 17:27:53.482935,2025-07-17 17:29:03.680255,0 days 00:01:10.197320,min,16,0.006820906019244917,7,12,gaussian,COMPLETE
153,0.0010512321023270488,2025-07-17 17:29:03.681143,2025-07-17 17:30:14.732776,0 days 00:01:11.051633,min,16,0.005406192512285953,7,13,gaussian,COMPLETE
154,0.01812620647251606,2025-07-17 17:30:14.733665,2025-07-17 17:31:26.576338,0 days 00:01:11.842673,min,16,0.00397437460925371,7,11,gaussian,COMPLETE
