number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
123,0.016719738021492958,2025-07-13 16:09:54.370047,2025-07-13 16:10:26.059420,0 days 00:00:31.689373,relu,min,32,0.0061992815716494214,7,10,gaussian,COMPLETE
124,0.030451547354459763,2025-07-13 16:10:26.060066,2025-07-13 16:10:58.006866,0 days 00:00:31.946800,relu,min,32,0.007230062903738978,7,11,gaussian,COMPLETE
125,0.0026901564560830593,2025-07-13 16:10:58.007488,2025-07-13 16:11:31.367361,0 days 00:00:33.359873,relu,min,32,0.008903096568250016,7,9,bell,COMPLETE
126,0.010243331082165241,2025-07-13 16:11:31.367966,2025-07-13 16:12:04.696670,0 days 00:00:33.328704,relu,min,32,0.008956487397179452,7,9,bell,COMPLETE
127,0.11111513525247574,2025-07-13 16:12:04.697320,2025-07-13 16:12:24.705464,0 days 00:00:20.008144,relu,prod,64,0.009922238835853626,7,9,bell,COMPLETE
128,0.03458911180496216,2025-07-13 16:12:24.705927,2025-07-13 16:12:58.573766,0 days 00:00:33.867839,relu,min,32,0.006561684353663549,7,10,bell,COMPLETE
129,0.5415008068084717,2025-07-13 16:12:58.574420,2025-07-13 16:13:31.727251,0 days 00:00:33.152831,relu,prod,32,0.0006900261234889396,7,7,bell,COMPLETE
130,0.017178675159811974,2025-07-13 16:13:31.727856,2025-07-13 16:14:05.575654,0 days 00:00:33.847798,relu,min,32,0.005075050540768418,8,10,bell,COMPLETE
131,0.000718231254722923,2025-07-13 16:14:05.576298,2025-07-13 16:14:37.462258,0 days 00:00:31.885960,relu,min,32,0.00800469197440089,7,11,gaussian,COMPLETE
132,1.096571683883667,2025-07-13 16:14:37.462894,2025-07-13 16:15:07.795002,0 days 00:00:30.332108,relu,min,32,0.007474545464726067,7,12,gaussian,COMPLETE
