number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
135,0.8941666666666668,2025-10-01 09:56:21.773311,2025-10-01 09:56:44.818965,0 days 00:00:23.045654,frank,0.0003670431755541108,3,5,sigmoid,COMPLETE
136,0.8541666666666666,2025-10-01 09:56:44.819435,2025-10-01 09:57:07.613344,0 days 00:00:22.793909,frank,0.0003669781063158416,3,5,sigmoid,COMPLETE
137,0.8808333333333334,2025-10-01 09:57:07.613897,2025-10-01 09:57:30.370835,0 days 00:00:22.756938,frank,0.0004064059711880438,3,5,sigmoid,COMPLETE
138,0.735,2025-10-01 09:57:30.371299,2025-10-01 09:57:53.235898,0 days 00:00:22.864599,frank,5.995680901292356e-05,3,5,sigmoid,COMPLETE
139,0.8541666666666666,2025-10-01 09:57:53.236354,2025-10-01 09:58:16.188295,0 days 00:00:22.951941,frank,0.00021688787854740372,3,5,sigmoid,COMPLETE
140,0.8416666666666668,2025-10-01 09:58:16.188752,2025-10-01 09:58:38.952416,0 days 00:00:22.763664,frank,0.00027803225412129855,3,5,sigmoid,COMPLETE
141,0.8808333333333334,2025-10-01 09:58:38.952838,2025-10-01 09:59:01.896228,0 days 00:00:22.943390,frank,0.0005652186218920422,3,5,sigmoid,COMPLETE
142,0.9075000000000001,2025-10-01 09:59:01.896721,2025-10-01 09:59:24.724771,0 days 00:00:22.828050,frank,0.0004767227626298111,3,5,sigmoid,COMPLETE
143,0.8683333333333334,2025-10-01 09:59:24.725218,2025-10-01 09:59:47.894951,0 days 00:00:23.169733,frank,0.00035324590863873524,3,5,sigmoid,COMPLETE
144,0.8541666666666666,2025-10-01 09:59:47.895512,2025-10-01 10:00:10.749933,0 days 00:00:22.854421,frank,0.0004649128278311701,3,5,sigmoid,COMPLETE
145,0.8416666666666666,2025-10-01 10:00:10.750431,2025-10-01 10:00:31.646989,0 days 00:00:20.896558,luka,0.0005085197352908805,3,5,sigmoid,COMPLETE
146,0.8816666666666666,2025-10-01 10:00:31.647424,2025-10-01 10:00:54.594018,0 days 00:00:22.946594,frank,0.00030570264729833194,3,5,sigmoid,COMPLETE
147,0.8416666666666666,2025-10-01 10:00:54.594496,2025-10-01 10:01:17.013426,0 days 00:00:22.418930,frank,0.0003053792577004132,3,3,sigmoid,COMPLETE
148,0.8408333333333333,2025-10-01 10:01:17.013856,2025-10-01 10:01:37.713054,0 days 00:00:20.699198,min,0.00039832208801312256,3,5,sigmoid,COMPLETE
149,0.8408333333333333,2025-10-01 10:01:37.713522,2025-10-01 10:01:59.707206,0 days 00:00:21.993684,hamacher,0.0003684071536768557,3,5,sigmoid,COMPLETE
150,0.8408333333333333,2025-10-01 10:01:59.707653,2025-10-01 10:02:22.505319,0 days 00:00:22.797666,frank,0.00033707512851050095,4,5,sigmoid,COMPLETE
151,0.8683333333333334,2025-10-01 10:02:22.505784,2025-10-01 10:02:45.362776,0 days 00:00:22.856992,frank,0.0004389557683012105,3,5,sigmoid,COMPLETE
152,0.8808333333333334,2025-10-01 10:02:45.363237,2025-10-01 10:03:08.226990,0 days 00:00:22.863753,frank,0.0007333321949043003,3,5,sigmoid,COMPLETE
153,0.8283333333333335,2025-10-01 10:03:08.227557,2025-10-01 10:03:30.973103,0 days 00:00:22.745546,frank,0.00024474216252311687,3,5,sigmoid,COMPLETE
154,0.8808333333333334,2025-10-01 10:03:30.973566,2025-10-01 10:03:53.812719,0 days 00:00:22.839153,frank,0.0006420653551679677,3,5,sigmoid,COMPLETE
155,0.8808333333333334,2025-10-01 10:03:53.813167,2025-10-01 10:04:16.656417,0 days 00:00:22.843250,frank,0.00028835690110460654,3,5,sigmoid,COMPLETE
156,0.8408333333333335,2025-10-01 10:04:16.656899,2025-10-01 10:04:41.587604,0 days 00:00:24.930705,frank,0.0005310813288948057,3,5,gaussian,COMPLETE
157,0.8675,2025-10-01 10:04:41.588075,2025-10-01 10:05:04.487891,0 days 00:00:22.899816,frank,0.0009096112512738562,3,5,sigmoid,COMPLETE
158,0.8675,2025-10-01 10:05:04.488372,2025-10-01 10:05:26.885212,0 days 00:00:22.396840,frank,0.0004890688525943434,3,3,sigmoid,COMPLETE
159,0.8941666666666667,2025-10-01 10:05:26.885753,2025-10-01 10:05:49.778979,0 days 00:00:22.893226,frank,0.0003208848925213308,3,5,sigmoid,COMPLETE
160,0.8283333333333334,2025-10-01 10:05:49.779441,2025-10-01 10:06:12.620277,0 days 00:00:22.840836,frank,0.000305918822710394,3,5,sigmoid,COMPLETE
