number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
151,0.8816666666666666,2025-10-01 12:47:20.359686,2025-10-01 12:47:34.155503,0 days 00:00:13.795817,tanh,40,7.931204406047374e-05,3,COMPLETE
152,0.8941666666666667,2025-10-01 12:47:34.155791,2025-10-01 12:47:47.965984,0 days 00:00:13.810193,tanh,37,9.425971122617143e-05,3,COMPLETE
153,0.8541666666666666,2025-10-01 12:47:47.966406,2025-10-01 12:48:01.801644,0 days 00:00:13.835238,tanh,41,3.7263269549583296e-05,3,COMPLETE
154,0.8675,2025-10-01 12:48:01.802047,2025-10-01 12:48:15.643503,0 days 00:00:13.841456,tanh,39,7.61080722345392e-05,3,COMPLETE
155,0.8150000000000001,2025-10-01 12:48:15.643951,2025-10-01 12:48:29.521322,0 days 00:00:13.877371,tanh,45,4.64570811387719e-05,3,COMPLETE
156,0.7749999999999999,2025-10-01 12:48:29.521645,2025-10-01 12:48:43.581022,0 days 00:00:14.059377,relu,42,2.7457966920443352e-05,3,COMPLETE
157,0.8808333333333334,2025-10-01 12:48:43.581442,2025-10-01 12:48:57.352625,0 days 00:00:13.771183,tanh,33,0.00010582989164812654,3,COMPLETE
158,0.8541666666666666,2025-10-01 12:48:57.353054,2025-10-01 12:49:11.329553,0 days 00:00:13.976499,tanh,47,3.227093193702484e-05,3,COMPLETE
159,0.8550000000000001,2025-10-01 12:49:11.329868,2025-10-01 12:49:25.117994,0 days 00:00:13.788126,tanh,35,0.0009978221850190842,3,COMPLETE
160,0.6224999999999999,2025-10-01 12:49:25.118421,2025-10-01 12:49:38.550475,0 days 00:00:13.432054,tanh,16,2.2263166464746535e-05,3,COMPLETE
161,0.8808333333333334,2025-10-01 12:49:38.550897,2025-10-01 12:49:52.265178,0 days 00:00:13.714281,tanh,28,0.00013525808663920246,3,COMPLETE
162,0.8816666666666666,2025-10-01 12:49:52.265483,2025-10-01 12:50:06.086336,0 days 00:00:13.820853,tanh,37,8.825023050313595e-05,3,COMPLETE
163,0.4491666666666666,2025-10-01 12:50:06.086759,2025-10-01 12:50:19.549675,0 days 00:00:13.462916,tanh,12,1.9222751846577807e-05,3,COMPLETE
164,0.8949999999999999,2025-10-01 12:50:19.550111,2025-10-01 12:50:33.330673,0 days 00:00:13.780562,tanh,31,0.00011672572573218381,3,COMPLETE
165,0.8683333333333334,2025-10-01 12:50:33.330992,2025-10-01 12:50:47.096675,0 days 00:00:13.765683,tanh,33,0.0001183726891659568,3,COMPLETE
166,0.8816666666666668,2025-10-01 12:50:47.097066,2025-10-01 12:51:00.940877,0 days 00:00:13.843811,tanh,44,0.00010290990191013342,3,COMPLETE
167,0.9075,2025-10-01 12:51:00.941296,2025-10-01 12:51:14.734195,0 days 00:00:13.792899,tanh,29,7.151235927712243e-05,3,COMPLETE
